p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.13119688254e-06	9.50205381331e-05	GO:0005615	c	2	extracellular space	70; 174; 302; 348; 351; 889; 976; 1152; 1277; 1278; 1280; 54841; 1486; 1490; 1513; 2065; 2192; 2218; 2239; 2257; 2321; 2335; 2487; 2719; 2934; 3077; 3486; 3488; 3911; 3912; 3915; 3958; 4023; 4162; 4282; 4753; 4940; 5118; 5125; 5167; 5216; 5228; 5270; 5764; 6275; 6284; 6414; 6781; 7045; 7089; 8600; 8614; 8788; 8842; 8991; 10344; 10940; 1839; 7373; 79990; 7035; 80781; 221044; 51083; 51738; 84570; 84883; 152189; 283659; 23094; 23768; 57186; 57509; 26085; 255738; 27293; 124925	ENSG00000120659; ENSG00000106692; ENSG00000197594; ENSG00000143387; ENSG00000134897; ENSG00000142192; ENSG00000104356; ENSG00000105894; ENSG00000184613; ENSG00000111331; ENSG00000063015; ENSG00000123146; ENSG00000105738; ENSG00000069482; ENSG00000006606; ENSG00000091136; ENSG00000068137; ENSG00000135862; ENSG00000007062; ENSG00000120708; ENSG00000187955; ENSG00000185559; ENSG00000113739; ENSG00000130768; ENSG00000189171; ENSG00000188517; ENSG00000076716; ENSG00000162998; ENSG00000146674; ENSG00000143416; ENSG00000001631; ENSG00000169174; ENSG00000157017; ENSG00000148180; ENSG00000131981; ENSG00000182871; ENSG00000106333; ENSG00000240972; ENSG00000115414; ENSG00000130702; ENSG00000065717; ENSG00000114279; ENSG00000130203; ENSG00000010704; ENSG00000099139; ENSG00000159167; ENSG00000185070; ENSG00000135919; ENSG00000113070; ENSG00000139219; ENSG00000166165; ENSG00000167759; ENSG00000196154; ENSG00000129422; ENSG00000119630; ENSG00000250722; ENSG00000108518; ENSG00000117151; ENSG00000042286; ENSG00000159251; ENSG00000118523; ENSG00000165623; ENSG00000166450; ENSG00000182718; ENSG00000170293; ENSG00000077942; ENSG00000175445; ENSG00000076706; ENSG00000065361; ENSG00000115461; ENSG00000188559; ENSG00000147257; ENSG00000003436; ENSG00000108821; ENSG00000164692; ENSG00000102755; ENSG00000081051	1338	543
2.14769518015e-06	0.00027705267824	GO:0001968	m	3	fibronectin binding	1490; 1513; 2192; 3486; 3488; 3675; 3688; 151887; 4237	ENSG00000118523; ENSG00000143387; ENSG00000077942; ENSG00000005884; ENSG00000091986; ENSG00000146674; ENSG00000115461; ENSG00000150093; ENSG00000117122	28	17
6.7061719014e-06	0.000744385081055	GO:0005509	m	5	calcium ion binding	302; 306; 976; 1000; 1004; 1607; 1952; 2192; 2934; 3309; 4147; 4324; 4753; 4811; 4854; 5099; 5101; 5167; 5331; 5523; 5530; 6275; 6281; 6284; 7059; 7184; 7273; 7447; 7804; 8826; 8904; 9066; 140576; 10125; 10235; 79158; 147968; 22981; 80258; 51760; 84669; 84698; 54510; 54997; 23499; 57348; 57402; 57493; 222256; 222663; 80267; 27306; 127833; 64093	ENSG00000068831; ENSG00000074181; ENSG00000127603; ENSG00000197594; ENSG00000011347; ENSG00000188643; ENSG00000184613; ENSG00000182472; ENSG00000123146; ENSG00000103528; ENSG00000073711; ENSG00000189334; ENSG00000184226; ENSG00000166598; ENSG00000140575; ENSG00000132561; ENSG00000189171; ENSG00000189184; ENSG00000170832; ENSG00000148180; ENSG00000146197; ENSG00000172575; ENSG00000138814; ENSG00000197747; ENSG00000163106; ENSG00000136267; ENSG00000196154; ENSG00000173706; ENSG00000149782; ENSG00000111670; ENSG00000102996; ENSG00000128536; ENSG00000113361; ENSG00000169851; ENSG00000183690; ENSG00000170558; ENSG00000180881; ENSG00000088992; ENSG00000198732; ENSG00000116406; ENSG00000214078; ENSG00000044574; ENSG00000182718; ENSG00000169231; ENSG00000077942; ENSG00000143126; ENSG00000101004; ENSG00000167614; ENSG00000157193; ENSG00000143858; ENSG00000163032; ENSG00000138772; ENSG00000116962; ENSG00000155657	687	356
1.14360296706e-05	0.000737623913754	GO:0008201	m	3	heparin binding	333; 348; 351; 1490; 2257; 2335; 3491; 4023; 4753; 5118; 5228; 5270; 5764; 7059; 1839; 84570; 151887; 53834	ENSG00000115414; ENSG00000142871; ENSG00000118523; ENSG00000114279; ENSG00000130203; ENSG00000188517; ENSG00000106333; ENSG00000142192; ENSG00000175445; ENSG00000105894; ENSG00000135919; ENSG00000184613; ENSG00000113070; ENSG00000127418; ENSG00000119630; ENSG00000091986; ENSG00000169231; ENSG00000105290	149	71
2.74045456996e-05	0.000830519428442	GO:0005604	c	2	basement membrane	302; 333; 1280; 2192; 2335; 3898; 3911; 3912; 3915; 4147; 4811; 7045; 10319; 80781; 151887; 64093	ENSG00000115414; ENSG00000120708; ENSG00000130702; ENSG00000182718; ENSG00000091986; ENSG00000159166; ENSG00000077942; ENSG00000050555; ENSG00000198732; ENSG00000182871; ENSG00000139219; ENSG00000116962; ENSG00000091136; ENSG00000132561; ENSG00000135862; ENSG00000105290	97	62
2.96614081586e-05	0.000830519428442	GO:0005578	c	2	proteinaceous extracellular matrix	302; 333; 1277; 1278; 1280; 1301; 1490; 2192; 2239; 2335; 2719; 3491; 3898; 3911; 3912; 3915; 3958; 4147; 4811; 7045; 10319; 11061; 7373; 79875; 80781; 221044; 151887; 23768; 4237; 64093	ENSG00000060718; ENSG00000130702; ENSG00000091986; ENSG00000091136; ENSG00000135862; ENSG00000120708; ENSG00000185070; ENSG00000132561; ENSG00000076716; ENSG00000131981; ENSG00000117122; ENSG00000115414; ENSG00000165623; ENSG00000136110; ENSG00000159166; ENSG00000142871; ENSG00000050555; ENSG00000139219; ENSG00000187955; ENSG00000105290; ENSG00000198732; ENSG00000118523; ENSG00000187720; ENSG00000182718; ENSG00000077942; ENSG00000182871; ENSG00000147257; ENSG00000108821; ENSG00000116962; ENSG00000164692	356	166
4.19580005379e-05	0.00205594202636	GO:1901681	m	2	sulfur compound binding	333; 348; 351; 1490; 2239; 2257; 2335; 2719; 2937; 3491; 4023; 4753; 5118; 5167; 5228; 5270; 5764; 7059; 9037; 10994; 1839; 84570; 151887; 414149; 89792; 53834	ENSG00000197594; ENSG00000106333; ENSG00000142192; ENSG00000105894; ENSG00000184613; ENSG00000176244; ENSG00000188517; ENSG00000076716; ENSG00000112902; ENSG00000105290; ENSG00000115414; ENSG00000114279; ENSG00000130203; ENSG00000142871; ENSG00000175229; ENSG00000135919; ENSG00000113070; ENSG00000105135; ENSG00000119630; ENSG00000091986; ENSG00000100983; ENSG00000118523; ENSG00000169231; ENSG00000175445; ENSG00000147257; ENSG00000127418	225	137
4.59396665004e-05	0.022747038554	GO:0010043	b	4	response to zinc ion	706; 445; 4493; 4494; 4495; 4496; 4501; 4502; 84329	ENSG00000187193; ENSG00000169715; ENSG00000130707; ENSG00000205358; ENSG00000198417; ENSG00000100300; ENSG00000125144; ENSG00000122986; ENSG00000125148	46	23
5.09677228368e-05	0.00764515842552	GO:0098590	c	3	plasma membrane region	302; 324; 477; 481; 482; 490; 684; 949; 1000; 1364; 1366; 1946; 2059; 2065; 2335; 2556; 2596; 2898; 2904; 2913; 145226; 3643; 3675; 3775; 3897; 4641; 4842; 4935; 5148; 5152; 5167; 5205; 5338; 5348; 5576; 6781; 6868; 7048; 7804; 7976; 8842; 9056; 9455; 9497; 23499; 10235; 3688; 51421; 79901; 81848; 84100; 117247; 84687; 729993; 54997; 55243; 22941; 23345; 23432; 23705; 57348; 57619; 222236; 25778; 26047; 91749; 26751; 59338; 159963; 64284	ENSG00000068831; ENSG00000164418; ENSG00000174469; ENSG00000073060; ENSG00000101850; ENSG00000005884; ENSG00000112394; ENSG00000150093; ENSG00000273079; ENSG00000139988; ENSG00000167614; ENSG00000163513; ENSG00000129219; ENSG00000114019; ENSG00000198822; ENSG00000197879; ENSG00000131018; ENSG00000184349; ENSG00000113966; ENSG00000197594; ENSG00000143153; ENSG00000129244; ENSG00000161048; ENSG00000181885; ENSG00000107679; ENSG00000135750; ENSG00000007062; ENSG00000155465; ENSG00000033867; ENSG00000115414; ENSG00000171105; ENSG00000159167; ENSG00000148942; ENSG00000018625; ENSG00000266964; ENSG00000189143; ENSG00000237515; ENSG00000130303; ENSG00000081923; ENSG00000162105; ENSG00000134982; ENSG00000124839; ENSG00000182985; ENSG00000103942; ENSG00000170558; ENSG00000160191; ENSG00000185527; ENSG00000035115; ENSG00000114302; ENSG00000172020; ENSG00000108819; ENSG00000071967; ENSG00000157193; ENSG00000151694; ENSG00000182718; ENSG00000104290; ENSG00000183853; ENSG00000173214; ENSG00000198910; ENSG00000065361; ENSG00000089250; ENSG00000133059; ENSG00000070961; ENSG00000151491; ENSG00000143147; ENSG00000138771; ENSG00000088992; ENSG00000187678; ENSG00000011677; ENSG00000127603	901	534
5.40952165375e-05	0.022747038554	GO:0022617	b	4	extracellular matrix disassembly	822; 1277; 1278; 1280; 1301; 1513; 2113; 2335; 2934; 3911; 3912; 3915; 4324; 4811; 6868; 7373; 80781; 84570	ENSG00000042493; ENSG00000060718; ENSG00000187955; ENSG00000115414; ENSG00000151694; ENSG00000134954; ENSG00000182871; ENSG00000143387; ENSG00000130702; ENSG00000188517; ENSG00000135862; ENSG00000139219; ENSG00000102996; ENSG00000148180; ENSG00000108821; ENSG00000116962; ENSG00000164692; ENSG00000091136	132	79
